                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                   0.73,                0.70784,                0.84083,                0.72616,                0.97744,                0.76694,                0.63176,                0.65572,                0.59812,                0.82346,               0.001981,               0.001981,               0.001981
                     83,                0.72997,                0.70605,                 0.8412,                0.72608,                0.97801,                0.76671,                0.63159,                0.65465,                0.59748,                0.82335,               0.001882,               0.001882,               0.001882
                     84,                0.71894,                0.69685,                0.83696,                0.72607,                0.97846,                0.76679,                0.63219,                0.65371,                0.59709,                0.82315,               0.001783,               0.001783,               0.001783
                     85,                0.72283,                0.70077,                0.84073,                0.72634,                0.97857,                0.76769,                0.63353,                0.65287,                0.59624,                0.82296,               0.001684,               0.001684,               0.001684
                     86,                0.72064,                0.70711,                0.83962,                0.72658,                0.97814,                 0.7678,                 0.6343,                0.65211,                0.59584,                0.82281,               0.001585,               0.001585,               0.001585
                     87,                0.71557,                0.68491,                  0.837,                0.72658,                0.97798,                 0.7677,                0.63462,                0.65148,                0.59544,                 0.8227,               0.001486,               0.001486,               0.001486
                     88,                0.71509,                0.68779,                0.83662,                0.72633,                0.97875,                0.76683,                0.63457,                0.65088,                0.59517,                0.82251,               0.001387,               0.001387,               0.001387
                     89,                0.70366,                0.67903,                0.83534,                0.72647,                0.97872,                0.76647,                 0.6346,                0.64991,                0.59471,                0.82233,               0.001288,               0.001288,               0.001288
                     90,                0.71251,                0.68394,                0.83779,                0.72647,                0.97861,                0.76635,                  0.635,                0.64879,                0.59421,                0.82219,               0.001189,               0.001189,               0.001189
                     91,                0.68652,                  0.654,                 0.8443,                 0.7266,                0.97763,                0.76728,                0.63594,                0.64765,                0.59428,                0.82209,                0.00109,                0.00109,                0.00109
                     92,                0.67871,                0.64879,                 0.8414,                0.72679,                0.97745,                0.76713,                0.63625,                 0.6465,                0.59413,                0.82193,               0.000991,               0.000991,               0.000991
                     93,                0.66938,                0.64563,                 0.8384,                0.72724,                0.97649,                0.76705,                 0.6364,                0.64518,                0.59347,                0.82175,               0.000892,               0.000892,               0.000892
                     94,                0.66708,                0.64314,                0.83744,                0.72755,                0.97551,                 0.7674,                0.63638,                0.64432,                 0.5933,                0.82161,               0.000793,               0.000793,               0.000793
                     95,                 0.6628,                0.63848,                 0.8369,                0.72788,                0.97551,                 0.7681,                0.63782,                0.64374,                0.59308,                0.82149,               0.000694,               0.000694,               0.000694
                     96,                0.66321,                0.63259,                0.83795,                0.72792,                0.97629,                0.76807,                0.63829,                0.64274,                0.59288,                0.82132,               0.000595,               0.000595,               0.000595
                     97,                0.65188,                0.63158,                0.83495,                0.72771,                 0.9766,                0.76767,                0.63837,                0.64173,                0.59247,                0.82114,               0.000496,               0.000496,               0.000496
                     98,                0.64738,                0.63012,                0.83577,                0.72778,                0.97635,                0.76767,                0.63853,                0.64096,                0.59223,                0.82102,               0.000397,               0.000397,               0.000397
                     99,                0.64197,                0.62043,                0.83438,                0.72748,                0.97659,                 0.7667,                0.63803,                0.64064,                0.59194,                0.82094,               0.000298,               0.000298,               0.000298
                    100,                0.64205,                0.62218,                0.83277,                0.72743,                0.97643,                0.76651,                0.63828,                0.63978,                0.59163,                0.82081,               0.000199,               0.000199,               0.000199
